iso3,country_ru,Country,region_ru,Region,subregion_ru,Subregion,year,sex,age_group,count,rate_per_100k
AFG,Афганистан,Afghanistan,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,2712.0,7.16396695794585
ALB,Албания,Albania,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,65.0,2.25302550996799
DZA,Алжир,Algeria,Африка,Africa,Северная Африка,Северная Африка,2019,Все,Все,519.0,1.19876531330297
ASM,Американское Самоа,American Samoa,Океания,Oceania,Полинезия,Полинезия,2019,Все,Все,0.0,0.0
ATG,Антигуа и Барбуда,Antigua and Barbuda,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,3.0,3.28358699042834
ARG,Аргентина,Argentina,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,2308.0,5.13191495105041
ARM,Армения,Armenia,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,73.0,2.51379877522903
AUS,Австралия,Australia,Океания,Oceania,Австралия и Новая Зеландия,Австралия и Новая Зеландия,2019,Все,Все,225.0,0.882951478402183
AUT,Австрия,Austria,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,77.0,0.86703158562286
AZE,Азербайджан,Azerbaijan,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,168.0,1.66164299896889
BHS,Багамские Острова,Bahamas,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,95.0,24.0704681959437
BHR,Бахрейн,Bahrain,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,4.0,0.269238704006036
BRB,Барбадос,Barbados,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,48.0,17.0692460193985
BLR,Беларусь,Belarus,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,225.0,2.38463165310244
BLZ,Белиз,Belize,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,134.0,34.7304566666278
BMU,Бермудские Острова,Bermuda,Америка,Americas,Северная Америка,Северная Америка,2019,Все,Все,0.0,0.0
BTN,Бутан,Bhutan,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,8.0,1.04599228057697
BOL,Боливия,Bolivia (Plurinational State of),Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,497.0,4.25827764835632
BIH,Босния и Герцеговина,Bosnia and Herzegovina,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,42.0,1.25540534198886
BRA,Бразилия,Brazil,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,44073.0,21.2445602088385
BGR,Болгария,Bulgaria,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,83.0,1.18988414972527
CPV,Кабо-Верде,Cabo Verde,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,33.0,6.41893469025722
CAN,Канада,Canada,Америка,Americas,Северная Америка,Северная Америка,2019,Все,Все,689.0,1.82357460879594
CYM,Каймановы острова,Cayman Islands,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,2.0,2.97057644035825
CHL,Чили,Chile,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,924.0,4.81306553520039
CHN,Китай,China,Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,7379.0,0.518362801144556
HKG,Гонконг ,"China, Hong Kong Special Administrative Region",Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,24.0,0.320606459178181
MAC,Макао,"China, Macao Special Administrative Region",Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,2.0,0.29807414296232
COL,Колумбия,Colombia,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,11678.0,23.3990612924966
CRI,Коста-Рика,Costa Rica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,563.0,11.2610056078008
HRV,Хорватия,Croatia,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,33.0,0.827828171469303
CUB,Куба,Cuba,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,500.0,4.46315139638841
CYP,Кипр,Cyprus,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,15.0,1.16579872951254
CZE,Чехия,Czechia,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,91.0,0.862160849844266
DNK,Дания,Denmark,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,50.0,0.859901642730301
DMA,Доминика,Dominica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,13.0,19.151302656875
DOM,Доминиканская Республика,Dominican Republic,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,1026.0,9.41799066618377
ECU,Эквадор,Ecuador,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,1187.0,6.84543557226847
SLV,Сальвадор,El Salvador,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,2398.0,38.5386955905095
EST,Эстония,Estonia,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,26.0,1.95957029638124
FIN,Финляндия,Finland,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,81.0,1.46692385524251
FRA,Франция,France,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,753.0,1.14560504750237
GUF,Французская Гвиана,French Guiana,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,37.781709,13.2303721005155
GEO,Грузия,Georgia,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,77.0,2.02806499553233
DEU,Германия,Germany,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,623.0,0.745579302641966
GHA,Гана,Ghana,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,571.0,1.82667713193775
GRC,Греция,Greece,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,78.0,0.727708640014711
GRD,Гренада,Grenada,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,16.0,13.7953035613438
GUM,Гуам,Guam,Океания,Oceania,Микронезия,Микронезия,2019,Все,Все,7.0,4.32611490161179
GTM,Гватемала,Guatemala,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,4437.0,25.9415998284592
GUY,Гайана,Guyana,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,136.0,16.8386645453251
VAT,Святой Престол,Holy See,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,0.0,0.0
HND,Гондурас,Honduras,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,4078.0,41.0111655865032
HUN,Венгрия,Hungary,Европа,Europe,Восточная Европа,Восточная Европа,2019,Все,Все,65.0,0.66527835015882
ISL,Исландия,Iceland,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,1.0,0.277239086829896
IND,Индия,India,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,40976.0,2.94997162020176
IRQ_C,Центральный Ирак,Iraq (Central Iraq),Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,5299.0,15.7340619875722
IRL,Ирландия,Ireland,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,32.0,0.648627918850972
ISR,Израиль,Israel,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,142.0,1.6402012873501
ITA,Италия,Italy,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,317.0,0.527189893600108
JAM,Ямайка,Jamaica,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,1340.0,47.462677157099
JPN,Япония,Japan,Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,319.0,0.251776994076062
JOR,Иордания,Jordan,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,122.0,1.14319003336944
KEN,Кения,Kenya,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,1576.0,3.07795502113628
XKX,Республика Косово,Kosovo under UNSCR 1244,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,24.0,1.36748864129747
KWT,Кувейт,Kuwait,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,16.0,0.360182418888326
LVA,Латвия,Latvia,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,65.0,3.39556267869149
LBN,Ливан,Lebanon,Азия,Asia,Западная Азия,Западная Азия,2019,Все,Все,182.0,3.14085853124481
LIE,Лихтенштейн,Liechtenstein,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,1.0,2.60145681581686
LTU,Литва,Lithuania,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,94.0,3.36307869103253
LUX,Люксембург,Luxembourg,Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,4.0,0.644991719918795
MYS,Малайзия,Malaysia,Азия,Asia,Южно-восточная Азия,Южно-восточная Азия,2019,Все,Все,310.0,0.9270169844912
MDV,Мальдивы,Maldives,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,3.0,0.615093155858455
MLT,Мальта,Malta,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,5.0,0.992032983112623
MRT,Мавритания,Mauritania,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,48.0,1.07437639165317
MUS,Маврикий,Mauritius,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,27.0,2.09909272547754
MEX,Мексика,Mexico,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,36661.0,29.150867187807
FSM,Федеративные Штаты Микронезии,Micronesia (Federated States of),Океания,Oceania,Микронезия,Микронезия,2019,Все,Все,1.0,0.906766290056401
MNG,Монголия,Mongolia,Азия,Asia,Восточная Азия,Восточная Азия,2019,Все,Все,205.0,6.34259904548525
MNE,Черногория,Montenegro,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,23.0,3.76021900823406
MAR,Марокко,Morocco,Африка,Africa,Северная Африка,Северная Африка,2019,Все,Все,1004.0,2.77264595868349
MMR,Мьянма,Myanmar,Азия,Asia,Южно-восточная Азия,Южно-восточная Азия,2019,Все,Все,1519.0,2.8855992129134
NAM,Намибия,Namibia,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,319.0,12.0354899812092
NPL,Непал,Nepal,Азия,Asia,Южная Азия,Южная Азия,2019,Все,Все,555.0,1.95325811107588
NLD,Нидерланды,Netherlands (Kingdom of the),Европа,Europe,Западная Европа,Западная Европа,2019,Все,Все,125.0,0.712758090417298
NZL,Новая Зеландия,New Zealand,Океания,Oceania,Австралия и Новая Зеландия,Австралия и Новая Зеландия,2019,Все,Все,114.0,2.28484272415384
NIC,Никарагуа,Nicaragua,Америка,Americas,Латинская Америка и Карибский бассейн,Латинская Америка и Карибский бассейн,2019,Все,Все,515.0,7.94304819024202
NGA,Нигерия,Nigeria,Африка,Africa,Африка южнее Сахары,Африка южнее Сахары,2019,Все,Все,44200.0,21.099298161443
MKD,Северная Македония,North Macedonia,Европа,Europe,Южная Европа,Южная Европа,2019,Все,Все,23.0,1.21203114814657
NOR,Норвегия,Norway,Европа,Europe,Северная Европа,Северная Европа,2019,Все,Все,28.0,0.523586594350632
