Country,year,pop_thousands,age_group,sex
Burundi,2019,12255.336,Все,Все
Burundi,2020,12617.036,Все,Все
Burundi,2021,12965.482,Все,Все
Burundi,2022,13321.098,Все,Все
Burundi,2023,13689.45,Все,Все
Comoros,2019,786.578,Все,Все
Comoros,2020,802.164,Все,Все
Comoros,2021,818.174,Все,Все
Comoros,2022,834.188,Все,Все
Comoros,2023,850.387,Все,Все
Djibouti,2019,1088.709,Все,Все
Djibouti,2020,1105.188,Все,Все
Djibouti,2021,1121.248,Все,Все
Djibouti,2022,1137.096,Все,Все
Djibouti,2023,1152.944,Все,Все
Eritrea,2019,3240.194,Все,Все
Eritrea,2020,3291.27,Все,Все
Eritrea,2021,3350.183,Все,Все
Eritrea,2022,3409.447,Все,Все
Eritrea,2023,3470.39,Все,Все
Ethiopia,2019,115737.382,Все,Все
Ethiopia,2020,118917.672,Все,Все
Ethiopia,2021,122138.588,Все,Все
Ethiopia,2022,125384.286,Все,Все
Ethiopia,2023,128691.692,Все,Все
Kenya,2019,51202.828,Все,Все
Kenya,2020,52217.334,Все,Все
Kenya,2021,53219.166,Все,Все
Kenya,2022,54252.46,Все,Все
Kenya,2023,55339.002,Все,Все
Madagascar,2019,28219.554,Все,Все
Madagascar,2020,28953.556,Все,Все
Madagascar,2021,29691.083,Все,Все
Madagascar,2022,30437.26,Все,Все
Madagascar,2023,31195.932,Все,Все
Malawi,2019,19025.752,Все,Все
Malawi,2020,19533.888,Все,Все
Malawi,2021,20047.258,Все,Все
Malawi,2022,20568.728,Все,Все
Malawi,2023,21104.482,Все,Все
Mauritius,2019,1286.27,Все,Все
Mauritius,2020,1283.223,Все,Все
Mauritius,2021,1279.624,Все,Все
Mauritius,2022,1276.13,Все,Все
Mauritius,2023,1273.588,Все,Все
Mayotte,2019,274.91,Все,Все
Mayotte,2020,284.37,Все,Все
Mayotte,2021,294.421,Все,Все
Mayotte,2022,305.268,Все,Все
Mayotte,2023,316.016,Все,Все
Mozambique,2019,29884.38,Все,Все
Mozambique,2020,30783.688,Все,Все
Mozambique,2021,31707.8,Все,Все
Mozambique,2022,32656.246,Все,Все
Mozambique,2023,33635.16,Все,Все
Réunion,2019,857.328,Все,Все
Réunion,2020,861.446,Все,Все
